timestamp,id,demand,frequency,coal,nuclear,ccgt,wind,pumped,hydro,biomass,oil,solar,ocgt,french_ict,dutch_ict,irish_ict,ew_ict,nemo,other,north_south,scotland_england,ifa2,intelec_ict,nsl,vkl_ict
2021-10-11 09:00:00,1089202.5,32470.333333333332,50.00216666666666,469.0833333333333,3965.0833333333335,17337.916666666668,4221.333333333333,192.16666666666666,650.5833333333334,2278.75,0.0,2581.6666666666665,0.0,0.0,624.5,-447.0,-335.3333333333333,958.25,133.75,188.83333333333334,1539.5,941.9166666666666,0.0,697.0,0.0
2021-10-11 10:00:00,1089214.5,31482.5,50.06575016666667,596.6666666666666,3968.25,17477.75,4117.416666666667,69.58333333333333,539.5833333333334,2287.0833333333335,0.0,3511.6666666666665,0.0,0.0,284.8333333333333,-454.0,-454.6666666666667,886.75,105.33333333333333,599.0833333333334,1661.6666666666667,452.25,0.0,697.0,0.0
2021-10-11 11:00:00,1089226.5,31467.666666666668,50.0037505,476.75,3964.5,17295.416666666668,4485.916666666667,72.0,361.1666666666667,2273.25,0.0,3963.3333333333335,0.0,0.0,218.5,-454.0,-430.8333333333333,850.75,99.41666666666667,365.1666666666667,1914.25,673.0,0.0,697.0,0.0
2021-10-11 12:00:00,1089238.5,30602.916666666668,50.00941683333334,458.8333333333333,3964.0,16119.916666666666,4584.583333333333,0.0,334.0,2274.4166666666665,0.0,4726.666666666667,0.0,0.0,218.58333333333334,-454.0,-369.3333333333333,939.5,103.25,105.25,1931.9166666666667,908.8333333333334,0.0,697.0,0.0
2021-10-11 13:00:00,1089250.5,29910.666666666668,50.04874974999999,459.4166666666667,3966.75,15499.666666666666,4591.833333333333,0.0,330.0,2276.3333333333335,0.0,4825.833333333333,0.0,0.0,218.83333333333334,-454.0,-311.5,888.9166666666666,99.16666666666667,88.75,2043.4166666666667,882.75,0.0,697.0,0.0
2021-10-11 14:00:00,1089262.5,30322.916666666668,49.97683383333333,459.5833333333333,3963.75,15747.583333333334,4557.666666666667,11.0,335.3333333333333,2269.4166666666665,0.0,4110.0,0.0,0.0,301.9166666666667,-454.0,-413.1666666666667,941.6666666666666,83.08333333333333,257.4166666666667,1980.9166666666667,954.9166666666666,0.0,697.0,0.0
2021-10-11 15:00:00,1089274.5,32911.916666666664,49.99916666666667,720.1666666666666,3968.1666666666665,17703.0,4576.916666666667,20.083333333333332,414.0833333333333,2270.0833333333335,0.0,2939.1666666666665,0.0,0.0,616.9166666666666,-454.0,-355.3333333333333,876.5833333333334,86.16666666666667,670.25,1868.0833333333333,962.75,0.0,697.0,0.0
2021-10-11 16:00:00,1089286.5,35825.5,50.0285,928.8333333333334,3969.5,18817.583333333332,4591.25,786.5,737.1666666666666,2235.6666666666665,0.0,1482.5,0.0,0.0,723.9166666666666,-454.0,-303.6666666666667,992.75,359.9166666666667,1561.0,2037.5833333333333,985.4166666666666,0.0,697.0,0.0
2021-10-11 17:00:00,1089298.5,37095.833333333336,50.03608283333333,831.0833333333334,3969.5833333333335,19239.916666666668,4942.75,1106.75,774.3333333333334,2205.9166666666665,0.0,313.2083329166667,0.0,0.0,691.25,-403.3333333333333,-316.0,1019.0,627.3333333333334,2279.8333333333335,2403.8333333333335,990.9166666666666,0.0,697.0,0.0
2021-10-11 18:00:00,1089310.5,37429.25,50.05866608333333,846.4166666666666,3968.4166666666665,19465.583333333332,4850.916666666667,1242.9166666666667,772.0,2209.1666666666665,0.0,5.026666583333333,0.0,0.0,724.75,-351.0,-316.0,1019.0,641.4166666666666,2198.9166666666665,2625.9166666666665,991.6666666666666,0.0,697.0,0.0
